Wall time,Step,Value
1680690214.6848965,4,1.1800000265793642e-06
1680690712.5261438,6,1.269999984288006e-06
1680690959.54502,7,1.314999963142327e-06
1680691453.5482543,9,1.4050000345378066e-06
1680691950.3431141,11,1.4949999922464485e-06
1680692196.0353174,12,1.5399999711007695e-06
1680692689.7352288,14,1.630000042496249e-06
1680692935.9096143,15,1.67500002135057e-06
1680693181.596392,16,1.720000000204891e-06
1680693428.7684379,17,1.764999979059212e-06
1680693674.8880947,18,1.8099999579135329e-06
1680693920.9277472,19,1.8550000504546915e-06
1680694166.8082023,20,1.9000000293090125e-06
1680694412.6545587,21,1.9449998944764957e-06
1680694905.5990257,23,2.035000079558813e-06
1680695397.2513828,25,2.125000037267455e-06
1680695643.514173,26,2.170000016121776e-06
1680696875.3164918,31,2.3949999103933806e-06
1680697121.9303868,32,2.4399998892477015e-06
1680697615.31485,34,2.530000074330019e-06
1680697861.5913835,35,2.5750000531843398e-06
1680698355.996802,37,2.6650000108929817e-06
1680699097.4090827,40,2.7999999474559445e-06
1680699344.1527233,41,2.8449999263102654e-06
1680699836.8065119,43,2.9350001113925828e-06
1680700083.3285842,44,2.9800000902469037e-06
1680700329.4907446,45,3.0250000691012247e-06
1680700575.8793952,46,3.0700000479555456e-06
1680701068.4345167,48,3.1600000056641875e-06
1680701561.3877752,50,3.2499999633728294e-06
1680701810.1231458,51,3.2949999422271503e-06
1680702551.3885763,54,3.4300001061637886e-06
1680702797.7894943,55,3.4750000850181095e-06
1680703044.418374,56,3.5200000638724305e-06
1680703291.099911,57,3.5650000427267514e-06
1680703538.3920553,58,3.6100000215810724e-06
1680704280.9081533,61,3.744999958144035e-06
1680704527.737492,62,3.789999936998356e-06
1680705022.5159998,64,3.879999894706998e-06
1680705516.2121909,66,3.96999985241564e-06
1680705763.3539712,67,4.014999831269961e-06
1680706011.3074374,68,4.059999810124282e-06
1680706257.9965773,69,4.104999788978603e-06
1680706504.8342092,70,4.1500002225802746e-06
1680706999.728983,72,4.2400001802889165e-06
1680707246.4715102,73,4.285000159143237e-06
1680707494.9658976,74,4.330000137997558e-06
1680707741.562745,75,4.375000116851879e-06
1680708235.5400808,77,4.465000074560521e-06
1680708730.8078518,79,4.555000032269163e-06
1680708979.0931642,80,4.600000011123484e-06
1680709473.3023126,82,4.689999968832126e-06
1680710213.9089012,85,4.824999905395089e-06
1680710460.959812,86,4.86999988424941e-06
1680710708.1978183,87,4.914999863103731e-06
1680710954.8898616,88,4.9599998419580515e-06
1680711202.0328257,89,5.0049998208123725e-06
1680711448.5435545,90,5.0499997996666934e-06
1680712683.0391521,95,5.275000148685649e-06
1680713921.6227603,100,5.500000042957254e-06
1680714666.5565798,103,5.634999979520217e-06
1680715160.4793897,105,5.7249999372288585e-06
1680715407.4781837,106,5.769999916083179e-06
1680715654.3692617,107,5.8149998949375e-06
1680717382.6077268,114,6.130000201665098e-06
1680718123.2984238,117,6.265000138228061e-06
1680718617.7248905,119,6.3550000959367026e-06
1680718864.9908063,120,6.4000000747910235e-06
1680719111.9517317,121,6.4450000536453445e-06
1680720101.4843297,125,6.624999969062628e-06
1680720349.693988,126,6.669999947916949e-06
1680720596.6399271,127,6.71499992677127e-06
1680721337.6680892,130,6.849999863334233e-06
1680721584.5559661,131,6.894999842188554e-06
1680722326.5616348,134,7.029999778751517e-06
1680723316.8736534,138,7.210000148916151e-06
1680723812.7126918,140,7.300000106624793e-06
1680724309.588337,142,7.390000064333435e-06
1680724556.5441387,143,7.435000043187756e-06
1680724803.871619,144,7.480000022042077e-06
1680725050.9262757,145,7.525000000896398e-06
1680725298.0712354,146,7.569999979750719e-06
1680725545.0118701,147,7.61499995860504e-06
1680726040.5451834,149,7.704999916313682e-06
1680726535.6612465,151,7.794999874022324e-06
1680727276.7019782,154,7.929999810585286e-06
1680727523.7333004,155,7.974999789439607e-06
1680727770.7078326,156,8.019999768293928e-06
1680728266.421827,158,8.10999972600257e-06
1680728513.4269018,159,8.154999704856891e-06
1680728760.5006142,160,8.199999683711212e-06
1680729256.5900466,162,8.289999641419854e-06
1680729503.4308672,163,8.334999620274175e-06
1680729996.9922001,165,8.424999577982817e-06
1680730243.976641,166,8.469999556837138e-06
1680730738.8854854,168,8.560000424040481e-06
1680730985.6043518,169,8.605000402894802e-06
1680731232.5526834,170,8.650000381749123e-06
1680731726.1567793,172,8.740000339457765e-06
1680732715.0017016,176,8.920000254875049e-06
1680732961.6040142,177,8.96500023372937e-06
1680733208.28378,178,9.010000212583691e-06
1680733455.1735556,179,9.055000191438012e-06
1680733949.118291,181,9.145000149146654e-06
1680734195.7201297,182,9.190000128000975e-06
1680734689.7912397,184,9.280000085709617e-06
1680735183.4111085,186,9.370000043418258e-06
1680735431.5003827,187,9.41500002227258e-06
1680735678.311729,188,9.4600000011269e-06
1680735925.4992135,189,9.504999979981221e-06
1680736421.6797,191,9.594999937689863e-06
1680736668.7352664,192,9.639999916544184e-06
1680738395.9483917,199,9.95499976852443e-06
1680739384.1555014,203,9.999999747378752e-06
1680740373.1814227,207,9.999999747378752e-06
1680740621.1507242,208,9.999999747378752e-06
1680740868.2226765,209,9.999999747378752e-06
1680741857.0547016,213,9.999999747378752e-06
1680742107.5600424,214,9.999999747378752e-06
1680742354.7921882,215,9.999999747378752e-06
1680742601.5401025,216,9.999999747378752e-06
1680743342.0033374,219,9.999999747378752e-06
1680743588.6130426,220,9.999999747378752e-06
1680744082.2421832,222,9.999999747378752e-06
1680744329.4147367,223,9.999999747378752e-06
1680744576.1507268,224,9.999999747378752e-06
1680745070.1634936,226,9.999999747378752e-06
1680745316.9968429,227,9.999999747378752e-06
1680745564.4191434,228,9.999999747378752e-06
1680746059.6060193,230,9.999999747378752e-06
1680746306.7246652,231,9.999999747378752e-06
1680746554.1180952,232,9.999999747378752e-06
1680746801.4510305,233,9.999999747378752e-06
1680747048.9777174,234,9.999999747378752e-06
1680747297.0493922,235,9.999999747378752e-06
1680748041.392125,238,9.999999747378752e-06
1680748291.1286273,239,9.999999747378752e-06
1680748786.8290246,241,9.999999747378752e-06
1680749777.4498782,245,9.999999747378752e-06
1680750024.4927394,246,9.999999747378752e-06
1680750518.0861948,248,9.999999747378752e-06
1680751012.7403402,250,9.999999747378752e-06
1680751260.799947,251,9.999999747378752e-06
1680752495.3061543,256,9.999999747378752e-06
1680753235.9417634,259,9.999999747378752e-06
1680753482.469687,260,9.999999747378752e-06
1680753729.4974782,261,9.999999747378752e-06
1680753976.4324758,262,9.999999747378752e-06
1680754470.525576,264,9.999999747378752e-06
