Wall time,Step,Value
1680690214.6847713,4,482.63604736328125
1680690712.5260136,6,454.3834533691406
1680690959.5448904,7,435.14666748046875
1680691453.5481703,9,408.9483337402344
1680691950.3429694,11,386.45037841796875
1680692196.035192,12,378.57574462890625
1680692689.7351017,14,364.80462646484375
1680692935.9094868,15,355.76190185546875
1680693181.5962641,16,349.1235046386719
1680693428.7682908,17,345.1395263671875
1680693674.887976,18,342.77587890625
1680693920.9276223,19,329.66357421875
1680694166.8080761,20,326.5950927734375
1680694412.6544309,21,331.6792907714844
1680694905.5989058,23,316.9697265625
1680695397.2512572,25,303.15216064453125
1680695643.5140471,26,295.2884826660156
1680696875.3163657,31,292.5689697265625
1680697121.93026,32,280.83355712890625
1680697615.3147223,34,279.7937927246094
1680697861.591302,35,279.0006103515625
1680698355.9966083,37,271.5439453125
1680699097.4089565,40,258.77911376953125
1680699344.1525993,41,258.3528747558594
1680699836.8063862,43,256.9376525878906
1680700083.328498,44,263.0235595703125
1680700329.4906182,45,254.7317657470703
1680700575.8793116,46,249.4912567138672
1680701068.4343905,48,246.18023681640625
1680701561.3876178,50,240.55831909179688
1680701810.1230197,51,241.56349182128906
1680702551.38845,54,233.56198120117188
1680702797.7893717,55,231.62591552734375
1680703044.4182484,56,231.32969665527344
1680703291.0998347,57,228.78721618652344
1680703538.3919291,58,222.09426879882812
1680704280.908077,61,221.0272216796875
1680704527.7373664,62,220.0074005126953
1680705022.5158527,64,217.2024688720703
1680705516.212072,66,214.2818145751953
1680705763.3538465,67,215.40284729003906
1680706011.3073108,68,213.9366912841797
1680706257.9964528,69,206.1345672607422
1680706504.834083,70,207.4605255126953
1680706999.728841,72,207.82899475097656
1680707246.4713824,73,203.02232360839844
1680707494.9657743,74,201.86724853515625
1680707741.5626183,75,200.79791259765625
1680708235.5399542,77,200.69993591308594
1680708730.807769,79,200.6589813232422
1680708979.093046,80,196.091064453125
1680709473.3021839,82,194.57518005371094
1680710213.9087825,85,187.62457275390625
1680710460.9597287,86,187.77764892578125
1680710708.1976275,87,188.491943359375
1680710954.889736,88,189.33908081054688
1680711202.0327034,89,185.751953125
1680711448.5434284,90,189.1603240966797
1680712683.0390244,95,177.69813537597656
1680713921.6226301,100,175.53883361816406
1680714666.5564592,103,173.16238403320312
1680715160.4792671,105,172.2909393310547
1680715407.4780586,106,168.42262268066406
1680715654.369022,107,168.74813842773438
1680717382.607588,114,165.03982543945312
1680718123.2983403,117,158.62744140625
1680718617.7247665,119,161.89657592773438
1680718864.9906816,120,159.9656219482422
1680719111.9515944,121,161.05648803710938
1680720101.4842014,125,152.6927032470703
1680720349.6938403,126,155.546875
1680720596.6398015,127,153.41619873046875
1680721337.6679664,130,151.68417358398438
1680721584.5558405,131,151.3001251220703
1680722326.561509,134,151.44007873535156
1680723316.873535,138,147.55979919433594
1680723812.7125678,140,149.410400390625
1680724309.5882134,142,143.78562927246094
1680724556.5440166,143,143.52047729492188
1680724803.871487,144,142.62744140625
1680725050.926181,145,143.0896453857422
1680725298.0711136,146,145.49241638183594
1680725545.0117452,147,146.05303955078125
1680726040.5451014,149,143.52854919433594
1680726535.6611228,151,142.627685546875
1680727276.7018518,154,138.8739776611328
1680727523.7331789,155,139.56695556640625
1680727770.70769,156,138.86155700683594
1680728266.4217463,158,137.83238220214844
1680728513.4267788,159,139.75494384765625
1680728760.500527,160,139.6821746826172
1680729256.5899653,162,138.25601196289062
1680729503.4307497,163,135.4713592529297
1680729996.9920754,165,132.5238037109375
1680730243.9765148,166,130.14158630371094
1680730738.8853672,168,133.00270080566406
1680730985.6042237,169,132.87542724609375
1680731232.55256,170,131.69740295410156
1680731726.1566525,172,131.8394775390625
1680732715.001576,176,131.29461669921875
1680732961.6039321,177,128.8983917236328
1680733208.2835126,178,127.65116119384766
1680733455.1734316,179,128.77267456054688
1680733949.1181657,181,129.19862365722656
1680734195.7200058,182,127.07072448730469
1680734689.791114,184,125.57987213134766
1680735183.410984,186,127.02283477783203
1680735431.5002575,187,124.16251373291016
1680735678.3116083,188,123.79930114746094
1680735925.4990864,189,123.87939453125
1680736421.6796181,191,126.64900207519531
1680736668.7351475,192,126.46064758300781
1680738395.9482694,199,122.20869445800781
1680739384.1553771,203,120.57453918457031
1680740373.1813,207,113.25605010986328
1680740621.1506002,208,116.23058319091797
1680740868.2225506,209,115.32901763916016
1680741857.0546215,213,113.01497650146484
1680742107.5599203,214,115.85487365722656
1680742354.7920628,215,113.75479888916016
1680742601.5399935,216,114.9559326171875
1680743342.0032146,219,112.49653625488281
1680743588.6129177,220,109.34882354736328
1680744082.2421083,222,113.33289337158203
1680744329.414613,223,110.04488372802734
1680744576.1506,224,112.55077362060547
1680745070.1633694,226,109.37113189697266
1680745316.996726,227,108.93829345703125
1680745564.419015,228,108.69134521484375
1680746059.605894,230,106.25028991699219
1680746306.7245388,231,105.22784423828125
1680746554.1179788,232,105.07814025878906
1680746801.4509053,233,106.66322326660156
1680747048.9776342,234,107.7242660522461
1680747297.049196,235,107.54740905761719
1680748041.3919985,238,104.3341293334961
1680748291.128432,239,101.15159606933594
1680748786.8289473,241,104.2987289428711
1680749777.4497945,245,100.16776275634766
1680750024.4926124,246,100.6351089477539
1680750518.086049,248,102.41463470458984
1680751012.740212,250,99.46224212646484
1680751260.7998738,251,101.0899429321289
1680752495.306074,256,96.43077850341797
1680753235.941683,259,97.28364562988281
1680753482.4696069,260,95.7896728515625
1680753729.4974034,261,97.6485824584961
1680753976.4323967,262,98.05810546875
1680754470.5254958,264,96.49341583251953
1680755460.2980638,268,96.437744140625
1680755955.382745,270,93.09268188476562
1680756449.3455355,272,92.61761474609375
1680756696.065348,273,95.12275695800781
1680756942.817034,274,93.65642547607422
1680757191.4614816,275,93.38531494140625
1680757934.9465764,278,92.6272201538086
1680758182.5510662,279,92.76832580566406
1680758676.7315135,281,93.4473648071289
1680759171.5868886,283,89.34024810791016
1680759666.9509246,285,89.53003692626953
1680760904.336803,290,90.00021362304688
1680761398.6962569,292,89.14286804199219
1680761645.779767,293,88.4596939086914
1680762394.2598839,296,87.47566223144531
1680762641.2315288,297,88.90448760986328
1680762888.16488,298,89.05004119873047
1680763135.4491494,299,87.81094360351562
1680763382.447642,300,88.85453796386719
1680763630.260327,301,87.74308776855469
1680763877.2466211,302,88.68962860107422
1680764125.6019602,303,88.84111785888672
1680764372.5463343,304,86.25846099853516
1680765362.6753461,308,86.13641357421875
1680765609.938166,309,86.49664306640625
1680766104.500208,311,85.75191497802734
1680766845.6856802,314,84.70781707763672
